Ticket ID,Opened,Customer,Email,Priority,Channel,Subject,Resolution Hours,Reopened
T-20246,21.04.2025,Marcus Silva,marcus.silva58@example.com,Low,Email,Duplicate records after sync 631,38.5,0
T-20247,09.05.2025,Marcus Novak,marcus.novak92@example.com,Normal,Chat,Invoice amount does not match the order,79,0
T-20248,22.04.2025,Omar Tanaka,omar.tanaka52@example.com,Urgent,Phone,Need help configuring SSO,39.4,2
T-20249,27.06.2025,Diego Silva,diego.silva43@example.com,High,Email,Data import stops at 40 percent 748,54.1,0
T-20250,04.09.2025,Tom Sharma,tom.sharma8@example.com,Low,Email,Data import stops at 40 percent 797,58.9,0
T-20251,12.06.2025,Elena Novak,elena.novak2@example.com,Low,Email,Dashboard loads very slowly 305,87.9,0
T-20252,05.06.2025,Marcus Costa,marcus.costa30@example.com,Urgent,Email,Login fails after password reset 212,54.3,0
T-20253,28.04.2025,Marcus Wright,marcus.wright15@example.com,Normal,Phone,Duplicate records after sync,18.1,2
T-20254,07.03.2025,Elena Silva,elena.silva16@example.com,Urgent,Email,Cannot export report to PDF 480,11.6,1
T-20255,25.04.2025,Anna Novak,anna.novak93@example.com,Normal,Phone,Data import stops at 40 percent,88.1,0
T-20256,01.03.2025,Yuki Sharma,yuki.sharma62@example.com,Low,Phone,Feature request: bulk edit,41.1,0
T-20257,17.06.2025,Priya Silva,priya.silva65@example.com,Normal,Phone,Dashboard loads very slowly 452,66.5,0
T-20258,21.04.2025,Marcus Haddad,marcus.haddad68@example.com,Normal,Email,Feature request: bulk edit 664,26.8,1
T-20259,28.03.2025,Elena Silva,elena.silva40@example.com,Low,Chat,Dashboard loads very slowly,37.7,2
T-20260,30.03.2025,Anna Wright,anna.wright48@example.com,Normal,Phone,Dashboard loads very slowly 159,1,2
T-20261,14.05.2025,Elena Wright,elena.wright43@example.com,High,Chat,Invoice amount does not match the order,85.9,2
T-20262,05.08.2025,Diego Tanaka,diego.tanaka97@example.com,High,Chat,Need help configuring SSO 529,2,1
T-20263,22.04.2025,Anna Silva,anna.silva27@example.com,Low,Phone,Feature request: bulk edit,57.4,2
T-20264,21.07.2025,Marcus Novak,marcus.novak12@example.com,Urgent,Phone,Data import stops at 40 percent 880,16.6,0
T-20265,31.03.2025,Priya Berg,priya.berg13@example.com,Low,Phone,Login fails after password reset,62.4,1
T-20266,19.04.2025,Omar Novak,omar.novak11@example.com,High,Chat,Duplicate records after sync,64,1
T-20267,15.04.2025,Yuki Haddad,yuki.haddad88@example.com,Urgent,Chat,Invoice amount does not match the order 467,77.3,2
T-20268,30.04.2025,Omar Sharma,omar.sharma98@example.com,Normal,Phone,Cannot export report to PDF,17.4,0
T-20269,20.08.2025,Diego Sharma,diego.sharma99@example.com,Urgent,Phone,Dashboard loads very slowly,78.1,0
T-20270,19.04.2025,Yuki Novak,yuki.novak97@example.com,High,Email,Data import stops at 40 percent 488,63.8,0
T-20271,31.08.2025,Omar Berg,omar.berg69@example.com,Urgent,Chat,Dashboard loads very slowly 330,65.6,0
T-20272,10.04.2025,Tom Novak,tom.novak31@example.com,Low,Email,Feature request: bulk edit,0.5,0
T-20273,07.05.2025,Yuki Tanaka,yuki.tanaka4@example.com,Urgent,Email,Dashboard loads very slowly,56.9,0
T-20274,26.03.2025,Diego Novak,diego.novak98@example.com,Urgent,Phone,Feature request: bulk edit,53.6,0
T-20275,08.09.2025,Anna Wright,anna.wright36@example.com,Normal,Chat,Data import stops at 40 percent 235,44.9,1
T-20276,13.09.2025,Priya Berg,priya.berg28@example.com,Low,Chat,Need help configuring SSO 87,0.4,0
T-20277,23.06.2025,Diego Haddad,diego.haddad95@example.com,High,Email,Cannot export report to PDF 240,90.2,0
T-20278,18.04.2025,Yuki Tanaka,yuki.tanaka68@example.com,Urgent,Chat,Dashboard loads very slowly,57.4,0
T-20279,25.03.2025,Elena Tanaka,elena.tanaka23@example.com,Low,Chat,Cannot export report to PDF,11.1,0
T-20280,17.03.2025,Anna Haddad,anna.haddad35@example.com,High,Email,Login fails after password reset,45.5,0
T-20281,24.08.2025,Yuki Sharma,yuki.sharma97@example.com,High,Email,Data import stops at 40 percent,28.3,0
T-20282,25.04.2025,Yuki Berg,yuki.berg83@example.com,Normal,Chat,Cannot export report to PDF 449,94.9,1
T-20283,13.06.2025,Marcus Sharma,marcus.sharma16@example.com,High,Phone,Duplicate records after sync 865,33,0
T-20284,23.07.2025,Omar Costa,omar.costa65@example.com,High,Phone,Login fails after password reset 573,67.8,2
T-20285,02.06.2025,Yuki Costa,yuki.costa46@example.com,Urgent,Phone,Need help configuring SSO 697,62,1
T-20286,17.09.2025,Anna Haddad,anna.haddad65@example.com,Normal,Email,Need help configuring SSO,35.6,1
T-20287,11.06.2025,Yuki Berg,yuki.berg92@example.com,Urgent,Chat,Need help configuring SSO 434,88.2,1
T-20288,17.04.2025,Priya Haddad,priya.haddad16@example.com,High,Email,Dashboard loads very slowly,95.1,2
T-20289,12.04.2025,Yuki Haddad,yuki.haddad75@example.com,Normal,Phone,Invoice amount does not match the order 365,30.1,2
T-20290,14.05.2025,Diego Sharma,diego.sharma40@example.com,Urgent,Chat,Invoice amount does not match the order,9.9,1
T-20291,10.08.2025,Priya Haddad,priya.haddad71@example.com,High,Chat,Invoice amount does not match the order 616,1.1,0
T-20292,25.06.2025,Tom Costa,tom.costa91@example.com,High,Chat,Login fails after password reset 782,95.1,1
T-20293,17.04.2025,Marcus Silva,marcus.silva59@example.com,High,Email,Cannot export report to PDF 793,2.1,2
T-20294,23.03.2025,Tom Silva,tom.silva92@example.com,Urgent,Email,Feature request: bulk edit 101,40.4,0
T-20295,07.08.2025,Marcus Silva,marcus.silva38@example.com,High,Phone,Cannot export report to PDF 889,56.3,2
T-20296,05.05.2025,Marcus Silva,marcus.silva64@example.com,Urgent,Phone,Login fails after password reset 689,61.3,0
T-20297,28.06.2025,Tom Costa,tom.costa4@example.com,High,Chat,Feature request: bulk edit 18,57.3,0
T-20298,01.09.2025,Anna Berg,anna.berg97@example.com,Urgent,Email,Dashboard loads very slowly 594,12.8,0
T-20299,17.04.2025,Anna Berg,anna.berg90@example.com,High,Chat,Dashboard loads very slowly,13.6,0
T-20300,12.04.2025,Anna Costa,anna.costa2@example.com,Normal,Chat,Login fails after password reset,14.9,1
T-20301,11.09.2025,Anna Silva,anna.silva98@example.com,Low,Phone,Data import stops at 40 percent 572,57.1,0
T-20302,13.05.2025,Marcus Wright,marcus.wright17@example.com,Low,Email,Feature request: bulk edit 317,58,1
T-20303,16.03.2025,Diego Novak,diego.novak74@example.com,Urgent,Phone,Need help configuring SSO 604,91.5,0
T-20304,01.06.2025,Elena Costa,elena.costa81@example.com,High,Phone,Data import stops at 40 percent 104,28.2,0
T-20305,01.07.2025,Priya Silva,priya.silva80@example.com,Normal,Phone,Feature request: bulk edit,33.8,0
T-20306,03.03.2025,Diego Haddad,diego.haddad96@example.com,Normal,Phone,Cannot export report to PDF,34.9,1
T-20307,02.07.2025,Yuki Silva,yuki.silva94@example.com,Low,Chat,Cannot export report to PDF 779,9.7,1
T-20308,17.09.2025,Marcus Novak,marcus.novak66@example.com,High,Phone,Invoice amount does not match the order 857,61.7,1
T-20309,10.09.2025,Anna Tanaka,anna.tanaka47@example.com,Urgent,Chat,Dashboard loads very slowly,24.3,0
T-20310,01.05.2025,Yuki Novak,yuki.novak7@example.com,High,Phone,Need help configuring SSO,24.6,0
T-20311,12.08.2025,Anna Haddad,anna.haddad9@example.com,Low,Chat,Data import stops at 40 percent 68,20.9,2
T-20312,23.04.2025,Anna Sharma,anna.sharma53@example.com,Low,Phone,Feature request: bulk edit,19.6,0
T-20313,30.08.2025,Tom Silva,tom.silva20@example.com,Urgent,Email,Login fails after password reset 997,83.2,2
T-20314,25.04.2025,Priya Sharma,priya.sharma36@example.com,Urgent,Chat,Feature request: bulk edit,18.6,1
T-20315,06.06.2025,Omar Novak,omar.novak25@example.com,Low,Phone,Need help configuring SSO 706,55.5,0
T-20316,22.05.2025,Marcus Tanaka,marcus.tanaka54@example.com,Normal,Phone,Dashboard loads very slowly,77.9,1
T-20317,24.03.2025,Anna Sharma,anna.sharma18@example.com,High,Chat,Login fails after password reset,52.2,2
T-20318,23.05.2025,Priya Costa,priya.costa22@example.com,Normal,Chat,Login fails after password reset,14.7,0
T-20319,16.08.2025,Yuki Haddad,yuki.haddad92@example.com,Low,Email,Duplicate records after sync,65.9,0
T-20320,18.07.2025,Omar Silva,omar.silva93@example.com,High,Phone,Feature request: bulk edit 866,17.7,1
T-20321,13.09.2025,Elena Silva,elena.silva86@example.com,Urgent,Chat,Need help configuring SSO,37.1,1
T-20322,15.04.2025,Anna Novak,anna.novak15@example.com,Normal,Email,Dashboard loads very slowly,10.4,2
T-20323,16.03.2025,Omar Haddad,omar.haddad75@example.com,Normal,Chat,Cannot export report to PDF 152,79.4,0
T-20324,02.03.2025,Diego Wright,diego.wright5@example.com,High,Email,Duplicate records after sync,22.3,1
T-20325,22.07.2025,Tom Novak,tom.novak98@example.com,Urgent,Email,Cannot export report to PDF,21.5,2
T-20326,08.09.2025,Anna Tanaka,anna.tanaka99@example.com,Urgent,Phone,Duplicate records after sync 4,93.8,2
T-20327,20.08.2025,Yuki Berg,yuki.berg43@example.com,Normal,Chat,Duplicate records after sync,93.3,0
T-20328,31.03.2025,Tom Haddad,tom.haddad99@example.com,Normal,Email,Duplicate records after sync 834,35.5,2
T-20329,06.09.2025,Elena Wright,elena.wright27@example.com,High,Phone,Duplicate records after sync 461,54.3,1
T-20330,19.03.2025,Elena Tanaka,elena.tanaka98@example.com,Urgent,Chat,Need help configuring SSO,28.7,0
T-20331,31.07.2025,Marcus Sharma,marcus.sharma75@example.com,Urgent,Phone,Cannot export report to PDF 83,22.7,2
T-20332,17.07.2025,Marcus Novak,marcus.novak37@example.com,High,Phone,Invoice amount does not match the order 330,41.7,2
T-20333,14.06.2025,Tom Novak,tom.novak57@example.com,Urgent,Email,Dashboard loads very slowly 388,72.1,0
T-20334,01.05.2025,Yuki Novak,yuki.novak51@example.com,Low,Email,Login fails after password reset,74.3,0
T-20335,03.06.2025,Anna Tanaka,anna.tanaka89@example.com,High,Email,Data import stops at 40 percent,38.3,1
T-20336,17.07.2025,Elena Sharma,elena.sharma47@example.com,Urgent,Chat,Data import stops at 40 percent,88.3,0
T-20337,20.06.2025,Diego Haddad,diego.haddad31@example.com,Urgent,Email,Cannot export report to PDF 944,11.4,1
T-20338,25.08.2025,Marcus Silva,marcus.silva68@example.com,Urgent,Phone,Data import stops at 40 percent 762,7.6,0
T-20339,08.08.2025,Omar Silva,omar.silva15@example.com,Normal,Email,Invoice amount does not match the order,0.5,0
T-20340,21.08.2025,Diego Tanaka,diego.tanaka89@example.com,Low,Chat,Invoice amount does not match the order,12.9,0
T-20341,04.09.2025,Tom Novak,tom.novak55@example.com,High,Phone,Cannot export report to PDF 28,23.9,0
T-20342,19.06.2025,Tom Sharma,tom.sharma95@example.com,Normal,Phone,Data import stops at 40 percent,67.5,2
T-20343,27.06.2025,Marcus Novak,marcus.novak65@example.com,Urgent,Chat,Need help configuring SSO,2.8,0
T-20344,20.03.2025,Priya Costa,priya.costa59@example.com,Normal,Phone,Need help configuring SSO 700,94.6,2
T-20345,25.06.2025,Diego Berg,diego.berg62@example.com,Urgent,Chat,Feature request: bulk edit,20.6,0
T-20346,11.09.2025,Marcus Novak,marcus.novak34@example.com,Low,Chat,Dashboard loads very slowly,2.1,2
T-20347,26.04.2025,Anna Silva,anna.silva93@example.com,High,Phone,Login fails after password reset 265,73.5,0
T-20348,17.09.2025,Anna Tanaka,anna.tanaka7@example.com,High,Chat,Cannot export report to PDF,54,0
T-20349,06.04.2025,Omar Costa,omar.costa60@example.com,Urgent,Email,Cannot export report to PDF,16.3,0
T-20350,06.07.2025,Elena Costa,elena.costa48@example.com,Normal,Email,Need help configuring SSO,18.4,1
T-20351,07.09.2025,Yuki Novak,yuki.novak71@example.com,High,Phone,Need help configuring SSO,79.2,2
T-20352,14.03.2025,Anna Costa,anna.costa18@example.com,Low,Chat,Invoice amount does not match the order 319,37,0
T-20353,02.09.2025,Marcus Costa,marcus.costa14@example.com,Normal,Phone,Duplicate records after sync,2.6,1
T-20354,27.06.2025,Priya Haddad,priya.haddad77@example.com,Urgent,Phone,Invoice amount does not match the order 283,95.3,0
T-20355,14.05.2025,Marcus Wright,marcus.wright85@example.com,High,Phone,Duplicate records after sync 597,35.8,0
T-20356,24.06.2025,Anna Haddad,anna.haddad65@example.com,Urgent,Phone,Feature request: bulk edit,37.6,1
T-20357,18.04.2025,Omar Berg,omar.berg49@example.com,Normal,Chat,Data import stops at 40 percent 944,41.6,0
T-20358,23.05.2025,Anna Costa,anna.costa60@example.com,High,Chat,Data import stops at 40 percent,79.1,0
T-20359,10.08.2025,Anna Costa,anna.costa73@example.com,High,Phone,Data import stops at 40 percent,70.1,0
T-20360,03.07.2025,Anna Silva,anna.silva10@example.com,Low,Phone,Data import stops at 40 percent 854,56.1,0
T-20361,17.03.2025,Marcus Costa,marcus.costa31@example.com,Urgent,Chat,Dashboard loads very slowly 363,50.7,0
T-20362,08.09.2025,Yuki Silva,yuki.silva26@example.com,Normal,Phone,Cannot export report to PDF,24.1,0
T-20363,02.06.2025,Tom Berg,tom.berg34@example.com,Low,Email,Invoice amount does not match the order 136,61.9,0
T-20364,11.08.2025,Yuki Wright,yuki.wright44@example.com,Urgent,Phone,Feature request: bulk edit,13.5,2
T-20365,28.04.2025,Omar Haddad,omar.haddad9@example.com,Urgent,Chat,Cannot export report to PDF,23.1,2
T-20366,08.08.2025,Yuki Silva,yuki.silva31@example.com,Normal,Email,Duplicate records after sync,77.2,0
T-20367,16.04.2025,Tom Wright,tom.wright27@example.com,Normal,Phone,Login fails after password reset 52,15.8,0
T-20368,20.05.2025,Tom Tanaka,tom.tanaka66@example.com,High,Chat,Data import stops at 40 percent,65,1
T-20369,21.07.2025,Omar Tanaka,omar.tanaka2@example.com,Low,Phone,Feature request: bulk edit,12,0
T-20370,20.08.2025,Tom Sharma,tom.sharma9@example.com,Normal,Email,Invoice amount does not match the order 953,62.5,2
T-20371,27.08.2025,Marcus Costa,marcus.costa28@example.com,Normal,Chat,Login fails after password reset,80.4,0
T-20372,02.03.2025,Yuki Haddad,yuki.haddad23@example.com,High,Email,Login fails after password reset,75.6,0
T-20373,08.06.2025,Priya Silva,priya.silva99@example.com,Urgent,Phone,Feature request: bulk edit,83.8,1
T-20374,13.03.2025,Anna Haddad,anna.haddad38@example.com,Low,Email,Duplicate records after sync,61.6,0
T-20375,18.05.2025,Tom Berg,tom.berg40@example.com,Urgent,Chat,Login fails after password reset,76.3,2
T-20376,07.09.2025,Priya Berg,priya.berg30@example.com,Urgent,Email,Login fails after password reset,66.7,2
T-20377,19.06.2025,Priya Berg,priya.berg16@example.com,Urgent,Chat,Invoice amount does not match the order,38.6,1
T-20378,09.07.2025,Anna Costa,anna.costa91@example.com,Low,Email,Login fails after password reset 834,85.7,2
T-20379,06.04.2025,Anna Silva,anna.silva6@example.com,Urgent,Phone,Feature request: bulk edit 994,33.2,2
T-20380,26.05.2025,Yuki Tanaka,yuki.tanaka37@example.com,Normal,Phone,Cannot export report to PDF,19,0
T-20381,29.05.2025,Yuki Novak,yuki.novak3@example.com,Normal,Phone,Login fails after password reset,6.1,0
T-20382,06.08.2025,Anna Wright,anna.wright30@example.com,High,Email,Feature request: bulk edit 242,50,0
T-20383,28.08.2025,Anna Silva,anna.silva40@example.com,Low,Phone,Dashboard loads very slowly,28.3,1
T-20384,11.09.2025,Yuki Haddad,yuki.haddad60@example.com,Normal,Phone,Feature request: bulk edit,48.9,0
T-20385,01.03.2025,Elena Wright,elena.wright94@example.com,Urgent,Email,Invoice amount does not match the order,50,0
T-20386,14.05.2025,Yuki Novak,yuki.novak34@example.com,Low,Email,Feature request: bulk edit,17,0
T-20387,14.03.2025,Yuki Novak,yuki.novak56@example.com,Low,Phone,Need help configuring SSO 631,75.7,1
T-20388,17.08.2025,Omar Wright,omar.wright75@example.com,Normal,Email,Invoice amount does not match the order,64.3,1
T-20389,18.07.2025,Diego Sharma,diego.sharma46@example.com,Low,Email,Data import stops at 40 percent 471,65.7,1
T-20390,23.07.2025,Yuki Haddad,yuki.haddad94@example.com,Urgent,Email,Duplicate records after sync 204,35.8,0
T-20391,02.06.2025,Anna Berg,anna.berg9@example.com,Normal,Chat,Login fails after password reset 574,18.8,0
T-20392,02.08.2025,Tom Wright,tom.wright79@example.com,Normal,Phone,Duplicate records after sync,2,0
T-20393,28.08.2025,Omar Costa,omar.costa75@example.com,High,Chat,Dashboard loads very slowly 657,28.6,0
T-20394,21.08.2025,Anna Haddad,anna.haddad61@example.com,Urgent,Phone,Cannot export report to PDF,23.1,0
T-20395,03.08.2025,Diego Costa,diego.costa95@example.com,High,Email,Duplicate records after sync,7.7,0
T-20396,31.05.2025,Tom Wright,tom.wright81@example.com,Normal,Phone,Feature request: bulk edit,93.4,0
T-20397,16.04.2025,Yuki Sharma,yuki.sharma54@example.com,High,Phone,Invoice amount does not match the order 176,15,0
T-20398,30.07.2025,Anna Berg,anna.berg82@example.com,Urgent,Phone,Data import stops at 40 percent 554,94.5,0
T-20399,17.07.2025,Omar Novak,omar.novak42@example.com,High,Chat,Need help configuring SSO 81,3.2,1
T-20400,21.04.2025,Anna Sharma,anna.sharma62@example.com,Urgent,Email,Duplicate records after sync,90.5,0
T-20401,07.05.2025,Yuki Haddad,yuki.haddad78@example.com,Urgent,Phone,Duplicate records after sync 108,53.2,0
T-20402,01.07.2025,Priya Tanaka,priya.tanaka98@example.com,Urgent,Email,Need help configuring SSO,4.3,0
T-20403,26.05.2025,Elena Costa,elena.costa66@example.com,Urgent,Email,Need help configuring SSO,17.4,0
T-20404,15.04.2025,Yuki Silva,yuki.silva37@example.com,Low,Email,Cannot export report to PDF 523,70.1,0
T-20405,07.07.2025,Yuki Novak,yuki.novak81@example.com,Normal,Phone,Feature request: bulk edit,56.1,1
T-20406,11.07.2025,Tom Haddad,tom.haddad18@example.com,High,Phone,Dashboard loads very slowly,74.5,0
T-20407,05.05.2025,Diego Costa,diego.costa32@example.com,High,Chat,Data import stops at 40 percent 591,58.1,0
T-20408,04.07.2025,Yuki Costa,yuki.costa48@example.com,Normal,Chat,Duplicate records after sync 351,53,0
T-20409,31.03.2025,Priya Novak,priya.novak60@example.com,High,Chat,Duplicate records after sync,31.9,2
T-20410,18.03.2025,Diego Wright,diego.wright36@example.com,Urgent,Email,Login fails after password reset 406,29.4,0
T-20411,25.05.2025,Omar Berg,omar.berg40@example.com,Normal,Phone,Data import stops at 40 percent,94.4,0
T-20412,09.05.2025,Yuki Wright,yuki.wright95@example.com,Normal,Email,Dashboard loads very slowly,17.3,0
T-20413,20.06.2025,Tom Wright,tom.wright27@example.com,Urgent,Chat,Invoice amount does not match the order,60.3,0
T-20414,10.07.2025,Marcus Haddad,marcus.haddad25@example.com,High,Phone,Login fails after password reset,53.3,1
T-20415,11.04.2025,Omar Sharma,omar.sharma86@example.com,High,Email,Feature request: bulk edit,12.8,0
T-20416,03.03.2025,Diego Silva,diego.silva94@example.com,High,Phone,Dashboard loads very slowly,45.9,0
T-20417,01.03.2025,Tom Silva,tom.silva64@example.com,Normal,Email,Need help configuring SSO,82.8,1
T-20418,22.06.2025,Anna Sharma,anna.sharma63@example.com,Low,Chat,Data import stops at 40 percent 136,76.9,0
T-20419,27.07.2025,Yuki Sharma,yuki.sharma27@example.com,Low,Chat,Login fails after password reset 474,48.4,0
T-20420,15.07.2025,Diego Tanaka,diego.tanaka94@example.com,High,Chat,Feature request: bulk edit 78,8.2,0
T-20421,05.08.2025,Marcus Costa,marcus.costa6@example.com,Normal,Chat,Dashboard loads very slowly 984,7.8,0
T-20422,23.04.2025,Anna Costa,anna.costa49@example.com,Normal,Email,Data import stops at 40 percent 481,3.7,2
T-20423,16.08.2025,Priya Novak,priya.novak24@example.com,Low,Phone,Dashboard loads very slowly 946,11,0
T-20424,29.04.2025,Priya Berg,priya.berg28@example.com,High,Email,Cannot export report to PDF,89.8,0
T-20425,30.08.2025,Diego Novak,diego.novak24@example.com,Urgent,Phone,Duplicate records after sync,25.2,0
T-20426,20.05.2025,Anna Costa,anna.costa58@example.com,Low,Phone,Invoice amount does not match the order 609,90.2,0
T-20427,15.08.2025,Diego Haddad,diego.haddad66@example.com,Low,Chat,Login fails after password reset,83.2,1
T-20428,04.06.2025,Marcus Costa,marcus.costa95@example.com,Low,Email,Need help configuring SSO,80.2,1
T-20429,31.08.2025,Anna Tanaka,anna.tanaka71@example.com,Normal,Phone,Dashboard loads very slowly 742,19.1,1
T-20430,23.04.2025,Omar Sharma,omar.sharma29@example.com,Low,Phone,Invoice amount does not match the order,60.7,2
T-20431,06.08.2025,Anna Silva,anna.silva87@example.com,Urgent,Phone,Feature request: bulk edit 617,31.2,0
T-20432,19.04.2025,Yuki Sharma,yuki.sharma67@example.com,Urgent,Phone,Feature request: bulk edit,36.1,1
T-20433,01.03.2025,Marcus Novak,marcus.novak58@example.com,Low,Email,Dashboard loads very slowly 105,7.1,0
T-20434,05.09.2025,Yuki Novak,yuki.novak11@example.com,High,Phone,Feature request: bulk edit 405,6.6,0
T-20435,16.04.2025,Marcus Silva,marcus.silva55@example.com,High,Phone,Dashboard loads very slowly 521,91.4,0
T-20436,10.08.2025,Priya Costa,priya.costa43@example.com,Normal,Phone,Need help configuring SSO,13,2
T-20437,28.07.2025,Omar Silva,omar.silva91@example.com,Low,Email,Feature request: bulk edit,81.1,0
T-20438,12.03.2025,Yuki Novak,yuki.novak54@example.com,Low,Chat,Cannot export report to PDF,94.9,1
T-20439,07.04.2025,Tom Berg,tom.berg90@example.com,Low,Email,Login fails after password reset,55.6,0
T-20440,03.08.2025,Anna Wright,anna.wright50@example.com,Low,Email,Cannot export report to PDF,41.6,0
T-20441,28.04.2025,Diego Silva,diego.silva70@example.com,High,Email,Data import stops at 40 percent 426,71.9,1
T-20442,08.09.2025,Priya Tanaka,priya.tanaka89@example.com,Normal,Email,Need help configuring SSO,89.8,0
T-20443,04.06.2025,Yuki Berg,yuki.berg59@example.com,High,Phone,Invoice amount does not match the order 387,13.8,0
T-20444,31.03.2025,Tom Haddad,tom.haddad4@example.com,Low,Email,Cannot export report to PDF 700,44.8,0
T-20445,26.05.2025,Elena Tanaka,elena.tanaka4@example.com,Normal,Phone,Login fails after password reset 974,83,2
T-20446,24.05.2025,Anna Silva,anna.silva8@example.com,Normal,Email,Need help configuring SSO 146,69.8,0
T-20447,20.08.2025,Priya Novak,priya.novak63@example.com,High,Phone,Login fails after password reset,9.9,2
T-20448,07.09.2025,Yuki Costa,yuki.costa16@example.com,Low,Chat,Dashboard loads very slowly 295,22.3,0
T-20449,14.05.2025,Yuki Sharma,yuki.sharma96@example.com,High,Phone,Login fails after password reset,79.1,0
T-20450,04.04.2025,Marcus Costa,marcus.costa92@example.com,Low,Email,Data import stops at 40 percent 162,7.7,0
T-20451,16.05.2025,Priya Berg,priya.berg25@example.com,Urgent,Phone,Invoice amount does not match the order 974,10.9,1
T-20452,06.05.2025,Elena Tanaka,elena.tanaka34@example.com,Urgent,Email,Login fails after password reset 737,23,2
T-20453,08.03.2025,Yuki Silva,yuki.silva30@example.com,Normal,Phone,Data import stops at 40 percent 110,3.6,2
T-20454,04.07.2025,Tom Berg,tom.berg71@example.com,Urgent,Chat,Cannot export report to PDF,8.9,0
T-20455,21.07.2025,Diego Novak,diego.novak59@example.com,Normal,Email,Feature request: bulk edit,36.8,1
T-20456,18.05.2025,Omar Berg,omar.berg23@example.com,Normal,Phone,Need help configuring SSO 269,66.9,0
T-20457,14.07.2025,Tom Berg,tom.berg74@example.com,Low,Chat,Login fails after password reset 945,25.8,1
T-20458,20.07.2025,Elena Berg,elena.berg65@example.com,Low,Phone,Cannot export report to PDF 711,79.1,1
T-20459,28.04.2025,Tom Novak,tom.novak80@example.com,Low,Phone,Invoice amount does not match the order,90.1,2
T-20460,26.08.2025,Omar Sharma,omar.sharma25@example.com,High,Phone,Login fails after password reset 454,2.8,0
T-20461,11.04.2025,Priya Sharma,priya.sharma42@example.com,Low,Email,Cannot export report to PDF 66,90.5,1
T-20462,06.08.2025,Priya Wright,priya.wright64@example.com,Low,Phone,Invoice amount does not match the order 959,14.6,0
T-20463,08.03.2025,Tom Tanaka,tom.tanaka86@example.com,Normal,Chat,Feature request: bulk edit 34,49,1
T-20464,12.09.2025,Marcus Costa,marcus.costa8@example.com,High,Phone,Dashboard loads very slowly 540,87.5,2
T-20465,13.05.2025,Anna Silva,anna.silva22@example.com,Urgent,Email,Need help configuring SSO 494,90.4,0
T-20466,08.07.2025,Omar Silva,omar.silva41@example.com,Normal,Email,Cannot export report to PDF,33.5,2
T-20467,20.06.2025,Marcus Tanaka,marcus.tanaka67@example.com,High,Phone,Duplicate records after sync 697,36,2
T-20468,27.06.2025,Anna Berg,anna.berg67@example.com,Low,Phone,Data import stops at 40 percent 82,17.8,2
T-20469,02.06.2025,Tom Haddad,tom.haddad35@example.com,Urgent,Chat,Feature request: bulk edit 58,48.7,0
T-20470,02.06.2025,Priya Tanaka,priya.tanaka88@example.com,Normal,Phone,Cannot export report to PDF,81.2,0
T-20471,13.06.2025,Marcus Tanaka,marcus.tanaka81@example.com,High,Email,Cannot export report to PDF,86.4,0
T-20472,08.09.2025,Yuki Haddad,yuki.haddad87@example.com,Urgent,Phone,Cannot export report to PDF,38.7,0
T-20473,05.03.2025,Tom Novak,tom.novak58@example.com,Urgent,Chat,Dashboard loads very slowly 690,58.7,0
T-20474,08.07.2025,Elena Berg,elena.berg48@example.com,Low,Chat,Cannot export report to PDF 510,94.2,0
T-20475,09.07.2025,Diego Berg,diego.berg86@example.com,Low,Phone,Dashboard loads very slowly,44.2,0
T-20476,20.04.2025,Priya Costa,priya.costa47@example.com,Normal,Chat,Feature request: bulk edit,20.1,0
T-20477,10.06.2025,Diego Silva,diego.silva45@example.com,Low,Phone,Duplicate records after sync,91.7,1
T-20478,11.06.2025,Omar Wright,omar.wright53@example.com,High,Chat,Duplicate records after sync,89.8,2
T-20479,25.08.2025,Diego Silva,diego.silva49@example.com,Normal,Chat,Data import stops at 40 percent,41.9,0
T-20480,14.08.2025,Elena Haddad,elena.haddad47@example.com,Urgent,Phone,Duplicate records after sync 28,39.5,0
T-20481,08.03.2025,Omar Haddad,omar.haddad17@example.com,Low,Phone,Duplicate records after sync,60.9,1
T-20482,12.05.2025,Elena Tanaka,elena.tanaka59@example.com,High,Chat,Dashboard loads very slowly,8.3,2
T-20483,30.04.2025,Yuki Berg,yuki.berg79@example.com,Low,Email,Need help configuring SSO 675,1.1,1
T-20484,15.09.2025,Omar Wright,omar.wright86@example.com,Urgent,Email,Data import stops at 40 percent 745,26.2,0
T-20485,03.05.2025,Marcus Tanaka,marcus.tanaka67@example.com,High,Phone,Dashboard loads very slowly 526,5.7,2
T-20486,24.07.2025,Tom Tanaka,tom.tanaka22@example.com,Urgent,Email,Feature request: bulk edit 608,39.8,2
T-20487,17.07.2025,Tom Haddad,tom.haddad2@example.com,Low,Chat,Login fails after password reset 602,41.2,1
T-20488,30.04.2025,Yuki Berg,yuki.berg68@example.com,High,Phone,Login fails after password reset 705,58,2
T-20489,14.08.2025,Anna Sharma,anna.sharma71@example.com,High,Chat,Invoice amount does not match the order,16.3,0
T-20490,07.07.2025,Yuki Sharma,yuki.sharma67@example.com,Low,Chat,Cannot export report to PDF,76.6,0
T-20491,01.05.2025,Priya Costa,priya.costa97@example.com,Normal,Email,Need help configuring SSO,1.2,0
T-20492,18.03.2025,Omar Tanaka,omar.tanaka70@example.com,High,Phone,Dashboard loads very slowly,79.2,2
